EmployeeNumber,Age,Gender,Department,JobRole,DistanceFromHome,MonthlyIncome,Education,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,Attrition,OverTime,MaritalStatus,BusinessTravel,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,TrainingTimesLastYear,NumCompaniesWorked,StockOptionLevel
520,43,Male,Research & Development,Research Director,12,14336,3,1,2,2,3,3,3,No,No,Divorced,Travel_Rarely,25,10,9,25,3,1,1
521,40,Female,Research & Development,Laboratory Technician,2,3448,3,2,2,3,4,2,3,No,No,Married,Travel_Rarely,1,0,0,20,3,6,1
522,54,Male,Research & Development,Research Director,5,19406,2,1,3,1,3,3,2,No,No,Married,Travel_Rarely,4,2,2,24,4,4,1
523,34,Female,Sales,Sales Executive,4,6538,4,3,3,3,3,1,3,No,No,Married,Non-Travel,3,2,2,6,3,9,1
524,31,Female,Research & Development,Manufacturing Director,7,4306,2,2,3,1,3,2,1,No,No,Married,Travel_Rarely,13,10,12,13,5,1,1
525,43,Male,Research & Development,Laboratory Technician,21,2258,3,4,3,4,4,1,3,No,No,Married,Travel_Frequently,3,2,2,8,1,7,1
526,43,Female,Research & Development,Healthcare Representative,8,4522,4,3,3,3,3,4,3,No,Yes,Divorced,Travel_Rarely,5,2,2,8,3,4,0
527,25,Female,Sales,Sales Executive,4,4487,2,2,2,4,3,2,3,No,Yes,Single,Travel_Rarely,5,4,3,5,3,1,0
529,37,Female,Research & Development,Research Scientist,25,4449,5,2,3,3,3,1,3,No,Yes,Married,Non-Travel,13,11,7,15,2,3,2
530,31,Male,Research & Development,Laboratory Technician,1,2218,2,4,2,1,3,3,3,No,No,Married,Travel_Rarely,4,2,2,4,3,1,1
531,39,Male,Research & Development,Manager,1,19197,1,2,3,3,3,3,3,No,Yes,Divorced,Travel_Frequently,21,8,6,21,3,1,1
532,56,Female,Sales,Sales Executive,6,13212,3,3,4,1,3,4,2,No,No,Married,Travel_Frequently,7,7,7,36,0,9,3
533,30,Female,Sales,Sales Executive,12,6577,3,2,3,3,3,2,3,No,No,Single,Travel_Rarely,5,4,4,6,6,0,0
534,41,Male,Sales,Sales Executive,1,8392,3,2,4,1,3,3,3,No,No,Married,Travel_Rarely,10,7,7,10,2,1,1
536,28,Male,Research & Development,Laboratory Technician,17,4558,2,3,3,1,3,4,3,No,No,Divorced,Travel_Rarely,10,0,8,10,2,1,1
538,25,Male,Research & Development,Laboratory Technician,3,4031,3,1,3,1,3,3,3,Yes,No,Married,Travel_Rarely,2,2,2,6,5,5,1
543,52,Male,Research & Development,Manufacturing Director,3,7969,3,4,2,3,3,3,3,No,Yes,Married,Travel_Rarely,5,4,4,28,4,2,0
544,45,Male,Research & Development,Research Scientist,10,2654,2,1,3,4,4,4,2,No,No,Married,Travel_Rarely,2,2,2,8,3,3,2
546,52,Female,Research & Development,Manager,4,16555,2,4,3,4,3,4,1,No,No,Married,Travel_Rarely,5,2,4,31,2,2,0
547,42,Female,Research & Development,Research Scientist,29,4556,2,1,3,3,3,2,3,No,No,Divorced,Travel_Frequently,5,4,2,19,3,2,1
548,30,Female,Research & Development,Manufacturing Director,2,6091,3,3,1,4,4,3,3,No,No,Single,Travel_Rarely,5,4,2,11,2,2,0
549,60,Female,Research & Development,Manager,7,19566,3,1,3,1,3,4,1,No,No,Married,Travel_Rarely,29,8,10,33,5,5,0
550,46,Female,Research & Development,Manufacturing Director,18,4810,3,3,3,3,3,3,2,No,No,Divorced,Travel_Rarely,10,7,8,19,5,2,1
551,42,Female,Research & Development,Healthcare Representative,28,4523,4,4,2,4,3,4,4,No,No,Married,Travel_Frequently,6,5,4,7,4,0,3
554,24,Female,Sales,Sales Representative,1,3202,1,1,3,2,3,2,3,Yes,Yes,Single,Travel_Rarely,5,3,4,6,4,1,0
555,34,Female,Sales,Sales Representative,6,2351,2,4,1,3,3,4,2,Yes,No,Divorced,Travel_Frequently,2,2,0,3,3,0,1
556,38,Male,Research & Development,Laboratory Technician,2,1702,2,4,3,4,4,3,3,No,Yes,Married,Travel_Frequently,1,0,0,1,3,1,1
558,40,Female,Sales,Manager,2,18041,4,3,3,3,3,4,3,No,No,Married,Travel_Rarely,20,15,12,21,2,0,0
560,26,Female,Research & Development,Research Scientist,23,2886,3,1,3,4,4,2,1,No,No,Divorced,Travel_Rarely,3,2,2,3,3,1,2
562,30,Male,Research & Development,Laboratory Technician,3,2097,3,3,3,4,3,3,1,No,No,Married,Non-Travel,5,3,4,9,3,4,1
564,29,Male,Research & Development,Research Director,3,11935,4,2,2,3,3,3,3,No,No,Married,Travel_Rarely,10,2,7,10,2,1,0
565,29,Female,Research & Development,Research Scientist,25,2546,5,3,2,2,3,2,4,Yes,No,Married,Travel_Rarely,2,2,1,6,2,5,0
566,19,Male,Human Resources,Human Resources,2,2564,2,1,2,4,3,3,4,Yes,No,Single,Travel_Rarely,1,0,0,1,3,1,0
567,30,Female,Sales,Sales Executive,22,8412,4,3,3,1,3,3,3,No,No,Married,Non-Travel,9,8,8,10,3,0,0
568,57,Male,Sales,Manager,29,14118,3,1,2,4,3,3,2,No,No,Divorced,Travel_Rarely,1,0,0,32,3,3,1
569,50,Male,Research & Development,Manager,29,17046,4,2,2,3,3,2,3,No,No,Married,Travel_Rarely,27,10,7,28,2,0,1
571,30,Female,Research & Development,Laboratory Technician,2,2564,3,3,3,4,3,3,2,No,No,Single,Non-Travel,11,7,7,12,2,0,0
573,60,Female,Sales,Sales Executive,28,10266,3,3,2,1,3,4,4,No,No,Married,Travel_Frequently,18,13,11,22,5,4,0
574,47,Female,Research & Development,Manufacturing Director,2,5070,2,1,3,4,3,3,3,No,No,Divorced,Travel_Rarely,5,0,4,20,2,5,3
575,46,Male,Research & Development,Research Director,2,17861,3,1,3,3,3,3,1,No,No,Married,Travel_Rarely,3,2,1,26,2,6,0
577,35,Male,Research & Development,Laboratory Technician,22,4230,3,4,1,3,3,3,3,No,No,Single,Travel_Rarely,5,4,3,6,2,0,0
578,54,Female,Research & Development,Laboratory Technician,8,3780,4,3,3,3,3,3,3,No,No,Single,Travel_Rarely,1,0,0,19,3,7,0
579,34,Male,Research & Development,Research Scientist,2,2768,4,4,2,3,3,3,3,No,No,Divorced,Travel_Rarely,7,3,7,14,3,3,1
580,46,Female,Sales,Sales Executive,10,9071,3,3,2,4,3,3,3,No,Yes,Married,Travel_Rarely,3,2,2,15,3,2,1
581,31,Male,Research & Development,Manufacturing Director,9,10648,1,3,3,2,4,4,4,No,No,Divorced,Travel_Rarely,13,8,8,13,6,1,1
582,33,Male,Research & Development,Manager,15,13610,1,2,3,3,3,4,4,Yes,Yes,Married,Travel_Rarely,7,6,7,15,2,7,0
584,33,Male,Research & Development,Laboratory Technician,10,3408,1,1,1,4,3,1,3,Yes,No,Divorced,Travel_Rarely,4,3,3,8,2,7,3
585,30,Male,Sales,Sales Representative,7,2983,1,4,3,2,3,1,3,No,No,Single,Travel_Rarely,3,2,2,4,3,0,0
586,35,Male,Research & Development,Healthcare Representative,16,7632,3,4,3,3,3,3,3,No,Yes,Married,Travel_Rarely,8,7,0,10,2,4,0
587,31,Male,Research & Development,Healthcare Representative,20,9824,3,1,3,3,3,1,3,Yes,No,Married,Travel_Frequently,1,0,0,12,2,3,0
590,34,Female,Human Resources,Human Resources,23,9950,3,2,3,1,3,3,3,Yes,Yes,Divorced,Travel_Frequently,3,2,2,11,2,9,3
591,42,Male,Research & Development,Laboratory Technician,5,2093,2,2,3,3,3,4,3,No,No,Married,Travel_Frequently,2,2,0,8,4,4,1
592,36,Male,Sales,Sales Executive,10,9980,4,2,3,4,3,4,2,No,No,Single,Non-Travel,10,3,7,10,3,1,0
593,22,Male,Research & Development,Laboratory Technician,4,3894,1,3,2,3,3,3,3,Yes,No,Single,Travel_Frequently,2,2,2,4,3,5,0
595,48,Female,Sales,Sales Executive,2,4051,5,2,3,4,3,1,3,No,No,Married,Travel_Rarely,9,7,7,14,2,2,1
597,55,Female,Sales,Manager,18,16835,5,1,3,2,4,4,3,No,No,Single,Travel_Rarely,10,9,7,37,2,3,0
599,41,Male,Sales,Sales Executive,10,6230,2,4,3,4,3,4,3,No,No,Single,Non-Travel,14,3,10,16,3,7,0
600,35,Male,Sales,Sales Executive,1,4717,3,2,3,3,3,3,3,No,No,Married,Travel_Rarely,11,9,9,15,2,9,0
601,40,Female,Research & Development,Manufacturing Director,6,13237,3,2,3,3,3,3,3,No,No,Single,Travel_Rarely,20,6,13,22,3,7,0
602,39,Female,Research & Development,Laboratory Technician,8,3755,1,3,3,3,3,1,3,No,No,Married,Travel_Frequently,8,3,7,8,3,1,1
604,31,Male,Sales,Sales Executive,2,6582,1,2,3,4,3,3,4,No,Yes,Single,Travel_Rarely,6,5,5,10,2,4,0
605,42,Male,Research & Development,Manufacturing Director,24,7406,3,4,3,1,4,4,2,No,Yes,Married,Travel_Rarely,10,9,8,10,5,1,1
606,45,Male,Sales,Sales Executive,2,4805,3,4,3,2,3,2,4,No,No,Married,Travel_Rarely,8,7,7,9,3,0,1
608,26,Female,Human Resources,Human Resources,17,2741,4,2,3,3,3,2,2,Yes,Yes,Divorced,Travel_Frequently,7,7,0,8,2,0,1
611,29,Male,Research & Development,Manufacturing Director,19,4262,3,4,3,4,3,2,4,No,No,Divorced,Travel_Rarely,3,2,2,8,2,4,2
612,33,Female,Research & Development,Research Director,1,16184,5,1,4,3,3,3,3,No,No,Divorced,Travel_Rarely,6,1,5,10,2,4,1
613,31,Male,Sales,Manager,7,11557,3,3,2,4,4,3,2,No,No,Divorced,Travel_Rarely,5,4,1,10,3,9,1
614,18,Male,Sales,Sales Representative,5,1878,3,2,3,2,3,4,3,Yes,Yes,Single,Travel_Frequently,0,0,0,0,3,1,0
615,40,Male,Sales,Sales Executive,28,10932,3,3,1,1,3,3,3,No,No,Divorced,Non-Travel,1,0,1,20,2,3,1
616,41,Female,Research & Development,Healthcare Representative,2,6811,4,1,2,3,3,1,3,No,Yes,Single,Non-Travel,8,7,7,10,3,2,0
618,26,Male,Sales,Sales Executive,29,4306,2,1,3,3,3,1,3,No,No,Divorced,Travel_Rarely,0,0,0,8,5,5,2
620,35,Female,Sales,Sales Executive,1,4859,3,1,3,3,3,4,3,No,No,Single,Travel_Rarely,5,4,3,5,3,1,0
621,34,Male,Sales,Sales Executive,21,5337,4,4,4,4,3,4,3,No,No,Single,Travel_Rarely,10,7,7,10,3,1,0
622,26,Male,Research & Development,Laboratory Technician,24,2340,3,3,1,4,3,2,1,Yes,Yes,Single,Travel_Rarely,1,0,0,1,3,1,0
623,37,Female,Research & Development,Manufacturing Director,1,7491,3,2,3,4,3,4,4,No,No,Single,Travel_Rarely,6,5,2,12,3,4,0
624,46,Female,Research & Development,Healthcare Representative,18,10527,1,1,3,3,3,4,2,No,No,Married,Travel_Frequently,2,2,2,28,3,5,0
625,41,Female,Sales,Manager,2,16595,5,2,3,1,3,2,3,No,No,Married,Travel_Rarely,18,16,8,22,2,7,1
626,37,Male,Sales,Sales Executive,9,8834,4,1,3,2,3,4,3,No,No,Divorced,Non-Travel,9,5,7,9,6,1,1
630,52,Male,Research & Development,Research Scientist,6,5577,2,4,3,1,3,2,3,No,Yes,Divorced,Travel_Rarely,10,9,9,18,3,3,2
631,32,Male,Sales,Sales Executive,11,4707,4,4,4,3,3,4,3,Yes,No,Married,Non-Travel,4,2,2,6,2,8,0
632,24,Male,Sales,Sales Representative,24,2400,3,4,3,4,3,3,3,No,No,Married,Travel_Frequently,2,2,1,3,3,0,2
634,38,Female,Research & Development,Healthcare Representative,10,9824,3,3,3,3,3,3,3,No,No,Married,Travel_Rarely,1,0,0,18,4,3,1
635,37,Female,Research & Development,Manufacturing Director,1,6447,4,2,3,2,3,2,2,No,No,Married,Travel_Rarely,6,5,3,8,2,6,1
638,49,Male,Research & Development,Research Director,18,19502,4,4,2,3,3,3,3,No,Yes,Divorced,Travel_Rarely,31,9,9,31,5,1,1
639,24,Male,Research & Development,Research Scientist,23,2725,3,2,4,4,3,2,3,No,Yes,Married,Travel_Rarely,6,5,4,6,3,1,2
641,26,Male,Sales,Sales Executive,28,6272,2,1,3,2,4,4,4,No,No,Married,Travel_Rarely,5,3,4,6,5,1,2
643,24,Male,Research & Development,Laboratory Technician,17,2127,2,4,2,2,4,4,3,No,No,Married,Travel_Rarely,1,0,0,1,2,1,1
644,50,Male,Human Resources,Manager,3,18200,3,1,3,2,3,3,3,No,No,Married,Travel_Frequently,32,5,7,32,2,1,1
645,25,Male,Sales,Sales Representative,13,2096,1,2,3,3,3,3,3,No,No,Married,Travel_Rarely,7,4,6,7,1,1,0
647,24,Female,Research & Development,Laboratory Technician,7,2886,3,1,3,3,3,4,3,Yes,Yes,Married,Travel_Frequently,6,3,2,6,4,1,1
648,30,Male,Sales,Sales Representative,12,2033,4,2,2,1,3,3,4,Yes,No,Married,Travel_Frequently,1,0,0,1,2,1,1
649,34,Male,Research & Development,Research Scientist,1,3622,2,2,2,4,3,4,3,No,Yes,Married,Travel_Rarely,6,5,3,6,3,1,1
650,31,Male,Sales,Sales Executive,13,4233,4,2,3,1,3,3,1,Yes,No,Divorced,Travel_Rarely,3,1,2,9,2,2,0
652,35,Male,Research & Development,Laboratory Technician,25,3681,2,1,2,4,3,4,3,No,No,Single,Travel_Rarely,3,2,2,9,3,4,0
653,31,Male,Sales,Sales Executive,6,5460,4,1,4,4,4,4,4,No,No,Divorced,Travel_Rarely,7,7,7,13,4,4,2
655,27,Female,Research & Development,Research Scientist,6,2187,4,1,2,3,3,3,2,No,No,Divorced,Travel_Rarely,5,3,3,6,5,0,2
656,37,Male,Sales,Sales Executive,2,9602,3,4,3,3,3,3,2,No,Yes,Married,Travel_Rarely,3,0,0,17,3,4,1
657,20,Female,Research & Development,Research Scientist,1,2836,3,4,2,2,3,4,4,No,No,Single,Travel_Rarely,1,0,0,1,0,1,0
659,42,Female,Research & Development,Healthcare Representative,2,4089,4,3,3,4,3,2,3,No,No,Married,Travel_Rarely,10,2,2,10,4,1,2
661,43,Male,Research & Development,Research Director,6,16627,4,2,2,4,3,3,2,No,Yes,Divorced,Travel_Rarely,1,0,0,21,3,4,1
662,38,Female,Research & Development,Research Scientist,1,2619,1,3,3,1,3,4,2,No,No,Single,Travel_Rarely,0,0,0,8,3,3,0
663,43,Male,Research & Development,Laboratory Technician,9,5679,5,4,3,3,3,2,3,No,Yes,Divorced,Travel_Frequently,8,7,7,10,3,3,1
664,48,Female,Research & Development,Manager,1,15402,4,4,2,1,3,1,1,No,No,Married,Travel_Rarely,3,2,2,21,3,7,1
665,44,Female,Human Resources,Human Resources,1,5985,4,1,2,3,3,2,4,No,No,Single,Travel_Rarely,2,2,2,10,1,4,0
666,34,Female,Sales,Sales Representative,14,2579,3,3,3,3,3,4,3,No,Yes,Divorced,Travel_Rarely,8,2,6,8,3,1,2
667,27,Male,Sales,Sales Representative,2,3041,1,3,3,1,3,2,3,Yes,No,Divorced,Travel_Rarely,4,3,2,5,3,0,1
669,21,Male,Sales,Sales Representative,22,3447,1,3,3,3,3,3,3,No,No,Single,Travel_Rarely,3,2,2,3,2,1,0
671,44,Male,Research & Development,Manager,3,19513,4,4,3,4,3,1,4,No,Yes,Married,Travel_Rarely,2,2,1,26,2,4,1
675,22,Male,Research & Development,Research Scientist,6,2773,1,1,3,3,4,4,3,No,No,Married,Travel_Rarely,2,2,2,3,3,0,0
677,33,Male,Sales,Sales Executive,8,7104,4,3,3,3,3,4,3,No,No,Divorced,Travel_Rarely,5,0,2,6,3,0,0
679,32,Female,Research & Development,Research Scientist,9,6322,4,1,3,4,3,4,2,No,Yes,Married,Travel_Rarely,6,4,5,6,2,1,1
680,30,Female,Research & Development,Research Scientist,3,2083,3,3,3,3,4,3,3,No,No,Divorced,Travel_Frequently,1,0,0,1,2,1,1
682,53,Female,Sales,Sales Executive,1,8381,1,4,3,1,4,4,4,No,No,Single,Travel_Rarely,14,7,10,18,2,7,0
683,34,Male,Research & Development,Research Scientist,1,2691,5,2,3,4,3,4,2,No,No,Married,Travel_Rarely,10,9,8,10,4,1,1
684,45,Female,Sales,Sales Executive,26,4286,4,1,3,1,3,4,3,Yes,No,Married,Travel_Frequently,1,1,0,5,4,2,2
686,26,Female,Research & Development,Laboratory Technician,6,2659,3,3,3,4,3,3,3,No,Yes,Married,Travel_Rarely,3,2,2,3,2,1,1
689,37,Male,Research & Development,Manufacturing Director,3,9434,3,3,3,3,3,3,3,No,No,Married,Travel_Rarely,10,7,8,10,2,1,1
690,29,Female,Sales,Sales Executive,3,5561,2,2,3,3,3,1,2,No,No,Married,Travel_Rarely,6,0,2,6,5,1,1
691,35,Male,Research & Development,Research Scientist,6,6646,4,2,1,4,3,2,3,No,No,Single,Travel_Rarely,17,11,8,17,3,1,0
692,33,Male,Research & Development,Healthcare Representative,6,7725,3,3,3,4,4,3,1,No,No,Divorced,Travel_Frequently,13,11,7,15,2,3,1
698,54,Male,Human Resources,Human Resources,19,10725,4,3,3,2,3,3,4,No,No,Married,Travel_Rarely,9,7,1,16,1,2,1
699,36,Male,Research & Development,Manufacturing Director,9,8847,2,2,2,2,3,3,3,No,Yes,Divorced,Travel_Rarely,3,2,2,13,2,2,1
700,27,Male,Research & Development,Research Scientist,3,2045,4,1,2,4,3,4,3,No,No,Single,Travel_Rarely,4,2,1,5,0,0,0
701,20,Male,Research & Development,Research Scientist,10,1009,1,4,3,3,3,4,3,Yes,Yes,Single,Travel_Rarely,1,0,1,1,5,1,0
702,33,Male,Research & Development,Research Scientist,3,3348,3,1,3,1,3,1,3,Yes,Yes,Single,Travel_Frequently,10,8,7,10,3,1,0
704,35,Male,Research & Development,Laboratory Technician,3,1281,3,3,2,3,3,3,3,No,No,Married,Non-Travel,1,0,0,1,3,1,2
705,23,Male,Research & Development,Research Scientist,4,2819,3,1,4,1,3,1,4,No,No,Married,Travel_Rarely,3,2,2,5,3,2,1
707,25,Male,Sales,Sales Executive,8,4851,3,4,4,2,4,3,3,No,No,Married,Travel_Rarely,3,2,2,4,4,0,1
709,38,Female,Sales,Sales Executive,7,4028,4,4,2,4,4,1,3,No,No,Single,Travel_Rarely,7,7,5,8,2,0,0
710,29,Male,Research & Development,Research Scientist,1,2720,4,2,1,4,3,4,3,No,No,Divorced,Travel_Frequently,10,7,8,10,5,1,1
712,48,Male,Sales,Sales Executive,2,8120,1,2,4,2,3,4,3,No,No,Married,Travel_Rarely,2,2,2,12,3,3,0
714,27,Female,Sales,Sales Executive,3,4647,1,4,4,4,4,2,3,No,Yes,Divorced,Travel_Frequently,6,5,4,6,3,1,2
715,37,Male,Research & Development,Research Scientist,10,4680,2,4,4,4,3,1,3,No,No,Single,Travel_Rarely,1,0,0,4,2,3,0
716,50,Male,Research & Development,Laboratory Technician,28,3221,1,4,4,3,3,3,3,No,Yes,Married,Travel_Rarely,20,8,8,20,3,1,3
717,34,Female,Research & Development,Healthcare Representative,9,8621,3,4,2,2,3,2,4,No,No,Single,Travel_Rarely,8,7,7,9,3,1,0
720,24,Female,Sales,Sales Executive,3,4577,2,1,3,3,3,1,3,Yes,No,Single,Travel_Rarely,2,2,0,4,3,9,0
721,39,Female,Research & Development,Healthcare Representative,2,4553,4,4,2,3,3,1,3,No,No,Single,Travel_Rarely,20,7,10,20,4,1,0
722,32,Male,Sales,Sales Executive,10,5396,3,4,3,4,3,4,2,No,No,Single,Travel_Rarely,10,7,8,10,2,1,0
723,50,Male,Sales,Sales Executive,8,6796,2,2,3,3,3,1,3,Yes,Yes,Married,Travel_Frequently,4,3,3,18,4,3,1
724,38,Female,Research & Development,Healthcare Representative,1,7625,4,2,4,4,3,3,2,No,No,Single,Travel_Rarely,9,7,8,10,4,0,0
725,27,Female,Research & Development,Manufacturing Director,1,7412,2,3,3,1,3,4,3,No,No,Married,Travel_Rarely,9,7,7,9,3,1,0
727,32,Female,Research & Development,Research Director,3,11159,2,3,3,4,3,4,3,No,No,Single,Travel_Rarely,7,7,7,10,6,3,0
728,47,Male,Sales,Sales Executive,14,4960,4,4,3,1,3,4,3,No,No,Single,Travel_Rarely,7,7,7,20,2,2,0
729,40,Male,Sales,Sales Executive,5,10475,4,4,2,1,4,3,3,No,Yes,Married,Travel_Frequently,18,13,12,20,2,5,1
730,53,Male,Research & Development,Research Director,7,14814,3,3,4,3,3,3,3,No,No,Married,Travel_Rarely,5,1,3,32,3,3,0
731,41,Male,Human Resources,Manager,10,19141,4,2,2,4,3,2,2,No,No,Divorced,Travel_Rarely,21,6,6,23,2,3,3
732,60,Male,Sales,Sales Executive,16,5405,4,1,3,1,3,4,3,No,No,Single,Travel_Rarely,2,2,2,10,1,8,0
733,27,Male,Research & Development,Manufacturing Director,10,8793,2,4,3,1,4,3,2,No,No,Divorced,Travel_Frequently,9,7,7,9,4,1,2
734,41,Male,Human Resources,Manager,1,19189,3,4,2,3,3,2,3,No,No,Married,Travel_Rarely,22,7,10,22,3,1,1
738,50,Male,Sales,Sales Representative,8,3875,4,4,3,2,3,4,3,No,No,Married,Travel_Rarely,2,2,2,4,2,7,1
741,28,Female,Research & Development,Research Scientist,1,2216,2,1,1,2,3,4,3,Yes,Yes,Single,Travel_Rarely,7,7,7,10,4,7,0
742,36,Female,Research & Development,Research Director,8,11713,3,1,4,1,3,1,3,No,No,Married,Non-Travel,8,7,5,10,2,9,1
743,38,Female,Research & Development,Manufacturing Director,1,7861,3,3,3,3,3,4,4,No,Yes,Single,Travel_Rarely,1,0,0,10,4,4,0
744,44,Male,Research & Development,Laboratory Technician,24,3708,3,1,1,3,3,3,3,No,No,Single,Non-Travel,5,2,4,9,5,2,0
746,47,Female,Sales,Sales Executive,3,13770,3,4,3,3,3,4,2,No,Yes,Divorced,Travel_Frequently,22,2,13,28,2,9,2
747,30,Male,Sales,Sales Executive,27,5304,5,3,3,4,4,4,2,No,No,Divorced,Travel_Rarely,8,7,7,10,2,7,1
749,29,Male,Sales,Sales Representative,10,2642,3,3,3,3,3,3,3,No,No,Single,Travel_Rarely,1,0,0,1,6,1,0
752,42,Male,Research & Development,Research Scientist,19,2759,3,3,4,3,3,4,3,Yes,Yes,Divorced,Travel_Frequently,2,2,2,7,2,6,0
754,43,Male,Sales,Sales Executive,15,6804,3,4,2,4,3,3,3,No,No,Married,Travel_Frequently,2,2,2,7,5,3,1
757,34,Female,Research & Development,Healthcare Representative,8,6142,2,2,3,3,3,4,3,No,No,Single,Travel_Rarely,5,1,3,10,2,3,0
758,23,Male,Research & Development,Laboratory Technician,9,2500,1,2,3,1,3,4,4,No,No,Married,Travel_Rarely,4,3,2,5,2,1,1
760,39,Female,Human Resources,Human Resources,3,6389,3,3,4,2,3,3,1,No,No,Married,Travel_Rarely,8,3,6,12,3,9,1
762,56,Male,Research & Development,Healthcare Representative,9,11103,3,3,3,4,3,3,2,No,No,Married,Travel_Rarely,10,7,1,30,1,7,0
763,40,Female,Research & Development,Research Scientist,2,2342,1,4,2,4,4,4,2,No,Yes,Single,Travel_Rarely,4,2,3,5,2,0,0
764,27,Female,Research & Development,Healthcare Representative,7,6811,3,4,2,1,3,1,1,No,No,Single,Travel_Rarely,7,6,7,9,2,8,0
766,29,Male,Sales,Sales Representative,10,2297,3,4,3,2,3,4,3,No,No,Divorced,Travel_Rarely,2,2,2,2,2,1,2
769,53,Male,Research & Development,Laboratory Technician,6,2450,3,4,3,4,3,4,3,No,No,Single,Travel_Rarely,2,2,2,19,4,2,0
771,35,Female,Research & Development,Healthcare Representative,2,5093,4,4,3,1,3,1,4,No,No,Divorced,Non-Travel,1,0,0,16,2,2,1
772,32,Male,Research & Development,Laboratory Technician,24,5309,4,1,3,4,3,4,3,No,No,Married,Travel_Frequently,10,8,7,10,2,1,2
773,38,Male,Research & Development,Research Scientist,2,3057,5,4,3,3,3,2,1,No,Yes,Married,Travel_Rarely,1,0,1,6,0,6,1
775,34,Female,Research & Development,Manufacturing Director,8,5121,5,2,3,1,3,3,3,No,No,Divorced,Travel_Rarely,0,0,0,7,3,3,1
776,52,Male,Sales,Manager,3,16856,4,3,2,1,3,1,4,No,No,Married,Travel_Rarely,34,6,16,34,3,1,0
780,33,Male,Research & Development,Research Scientist,1,2686,4,4,3,4,3,3,2,Yes,Yes,Single,Travel_Rarely,10,9,8,10,2,1,0
781,25,Female,Sales,Sales Executive,26,6180,1,3,3,4,4,2,2,No,No,Single,Travel_Rarely,6,5,4,6,5,1,0
783,45,Male,Sales,Sales Representative,2,6632,2,2,1,3,3,1,3,No,No,Single,Travel_Rarely,8,7,1,9,3,0,0
784,23,Male,Research & Development,Research Scientist,10,3505,1,1,4,3,3,4,3,No,No,Single,Travel_Rarely,2,2,2,2,3,1,0
785,47,Female,Sales,Sales Executive,27,6397,2,2,4,3,3,4,3,Yes,Yes,Single,Travel_Frequently,5,4,3,8,2,4,0
786,34,Male,Sales,Sales Executive,2,6274,3,4,3,4,4,3,3,No,No,Single,Travel_Rarely,6,5,4,6,5,1,0
787,55,Male,Research & Development,Manager,2,19859,3,4,3,1,3,4,3,Yes,Yes,Married,Travel_Rarely,5,2,4,24,2,5,1
789,36,Male,Sales,Sales Executive,8,7587,4,1,2,1,3,2,3,No,No,Single,Non-Travel,10,7,9,10,1,1,0
791,52,Male,Research & Development,Research Scientist,19,4258,4,4,3,4,3,1,3,No,No,Married,Non-Travel,4,3,2,5,3,0,1
792,26,Female,Research & Development,Laboratory Technician,1,4364,2,1,1,4,3,1,3,No,No,Divorced,Travel_Frequently,2,2,0,5,2,3,1
793,29,Female,Research & Development,Healthcare Representative,27,4335,3,2,3,3,3,1,2,No,No,Married,Travel_Rarely,8,7,1,11,3,4,1
796,26,Male,Sales,Sales Executive,8,5326,3,4,2,1,3,3,2,Yes,No,Single,Travel_Rarely,4,3,2,6,2,6,0
797,34,Female,Research & Development,Research Scientist,1,3280,4,2,4,4,3,3,3,No,No,Single,Travel_Rarely,4,2,3,10,2,2,0
799,54,Female,Research & Development,Manufacturing Director,19,5485,4,4,3,1,3,2,3,No,Yes,Divorced,Travel_Rarely,5,3,4,9,4,9,2
800,27,Male,Sales,Sales Executive,8,4342,1,3,3,4,3,2,3,No,No,Married,Travel_Frequently,4,2,1,5,3,0,1
802,37,Female,Research & Development,Research Scientist,10,2782,1,4,3,1,3,2,2,No,Yes,Divorced,Travel_Rarely,5,3,3,6,3,0,2
803,38,Female,Research & Development,Manufacturing Director,2,5980,4,1,4,1,3,4,3,No,Yes,Single,Travel_Frequently,15,7,12,17,2,6,0
804,34,Female,Research & Development,Research Scientist,2,4381,4,3,2,1,3,3,3,No,No,Single,Travel_Rarely,6,5,3,6,3,1,0
805,35,Female,Sales,Sales Representative,8,2572,4,1,3,4,3,2,2,No,No,Married,Travel_Rarely,3,2,2,3,1,1,1
806,30,Male,Research & Development,Laboratory Technician,1,3833,3,4,1,3,4,3,3,No,No,Married,Travel_Rarely,2,2,2,7,2,3,2
807,40,Female,Research & Development,Healthcare Representative,2,4244,2,3,4,2,4,4,3,No,No,Married,Travel_Frequently,8,7,7,8,2,1,1
808,34,Female,Sales,Sales Executive,8,6500,2,3,3,1,3,2,3,No,No,Married,Travel_Rarely,3,2,2,6,1,5,1
809,42,Male,Research & Development,Manager,8,18430,3,2,3,4,3,2,2,No,No,Divorced,Travel_Frequently,24,7,9,24,4,1,1
811,23,Male,Research & Development,Laboratory Technician,6,1601,3,3,4,1,4,3,3,Yes,Yes,Married,Travel_Rarely,0,0,0,1,2,1,2
812,24,Male,Research & Development,Laboratory Technician,9,2694,3,3,2,2,3,3,3,No,No,Divorced,Non-Travel,1,0,0,1,4,1,3
